name,brand,category,gender,notes,season,longevity
Chanel No.5,Chanel,floral,female,"ylang-ylang,neroli,bergamot,iris,rose,jasmin,sandalwood",winter,8 hours
Tom Ford Oud Wood,Tom Ford,woody,male,"oud,sandalwood,cardamom,vetiver,pepper",fall,7 hours
Dolce & Gabbana Light Blue,Dolce & Gabbana,fresh,female,"lemon,jasmine,musk,apple,cedar",summer,6 hours
Yves Saint Laurent Black Opium,YSL,oriental,female,"coffee,vanilla,pear,jasmine,orange blossom",autumn,8 hours
Acqua Di Gio,Armani,fresh,male,"lime,lemon,jasmine,sea notes,bergamot,cedar,musk",summer,6 hours
Bleu De Chanel,Chanel,"citrus,woody",male,"lemon,incense,mint,grapefruit,cedar",all seasons,7 hours
Valaya,Parfums De Marly,musky,female,"white peach,orange blossom,musk",summer,9 hours
Libre,Yves Saint Laurent,floral,female,"lavender,orange blossom,vanilla",winter,8 hours
Goddes,Burberry,aromatic,female,"vanilla,lavender,cacao",winter,8 hours
Delina,Parfums De Marly,floral,female,"litchi,rose,cashmeran",summer,9 hours
Guidance,Amouage,woody,female,"pear,hazelnut,sandalwood,vanilla",fall,10 hours
Paradoxe,Prada,floral,female,"orange blossom,neroli,vanilla,amber",spring,7 hours
Si,Armani,fruity,female,"cassis,rose,vanilla",fall,6 hours
My Way,Armani,floral,female,"orange blossom,tuberose,vanilla",summer,7 hours
For Her Eau De Parfum,Narciso Rodriguez,floral,female,"rose,musk,patchouli",fall,6 hours
Bronze Goddes,Estee Lauder,vanilla,female,"coconut,vanilla,tiare flower",summer,7 hours
Crystal Noir,Versace,floral,female,"pepper,ginger,coconut,orange blossom,sandalwood",winter,8 hours
Yara,Lattafa,vanilla,female,"gourmand accord,vanilla,musk",spring,7 hours
Hypnotic Poison,Dior,vanilla,female,"coconut,vanilla,almond,sandalwood",winter,8 hours
Eclaire,Lattafa,gourmand,female,"caramel,milk,sugar,vanilla,praline",winter,8 hours
Good Girl,Carolina Herrera,floral,female,"almond,coffee,tuberose,tonka bean,cacao",winter,8 hours
Donna Born In Roma,Valentino,floral,female,"black currant,jasmine,vanilla",all seasons,7 hours
Hundred Silent Ways,Nishane,floral,unisex,"tuberose,peach,jasmine,vanilla,sandalwood",winter,9 hours
Bianco Latte,Giardini Di Toscana,vanilla,unisex,"caramel,honey,vanilla",winter,9 hours
Portrait of a Lady,Frederic Malle,floral,female,"rose,clove,patchouli,incense,sandalwood",winter,10 hours
Baccarat Rouge 540,Maison Francis Kurkdjian,oriental,unisex,"saffron,amber,cedar,sugar",winter,10 hours
Lira,Casamorati,gourmand,female,"cinnamon,vanilla,caramel",winter,7 hours
Soleil Blanc,Tom Ford,floral,unisex,"pistachio,tuberose,ylang-ylang,coconut",summer,6 hours
Devotion,Dolce & Gabbana,vanilla,female,"candied lemon,panacotta,orange blossom,vanilla",winter,7 hours
Musk Therapy,Initio,musky,unisex,"white musk,musk,black currant,bergamot",summer,7 hours
Bottled Absolu,Hugo Boss,woody,male,"incense,leather,myrrh,patchouli,cedar",winter,9 hours
Liquid Brun,French Avenue,vanilla,male,"cinnamon,orange blossom,vanilla,praline",winter,9 hours
Dior Homme Intense,Dior,oriental,male,"iris,ambrette,cedar",winter,8 hours
Outlands,Amouage,oriental,male,"frankincense,cardamom,elemi,patchouli,vanilla,amber,benzoin,oud",winter,12 hours
Eau d'Ombré Leather,Tom Ford,leather,male,"cardamom,vanilla,leather",winter,8 hours
Le Sel d’Issey,Issey Miyake,aquatic,male,"sea salt,ginger,seaweed,cedar,oakmoss",summer,8 hours
Le Beau Paradise Garden,Jean Paul Gaultier,tropical,male,"green notes,watery notes,mint,coconut,fig,salt,tonka bean,sandalwood",summer,9 hours
Decision,Amouage,woody aromatic,unisex,"cardamom,bergamot,frankincense,juniper berries,vanilla,cedar",all seasons,10 hours
Vulcan Feu,French Avenue,tropical,unisex,"mango,lemon,ginger,tonka bean,cedar",summer,9 hours
Eros Energy,Versace,Citrus,male,"lemon,lime,grapefruit,blood orange,musk,oakmoss",summer,7 hours
Il Padrino,Sospiro,oriental woody,unisex,"black currant,rum,amber,patchouli,vanilla,benzoin",winter,9 hours
